,Reg no.,Name,Incorp-orated,Dissolved,Type
1,2908501,"(China) Innovative Thinking Intelligent Digital Technology Development Co., Limited
(中國)創新思維智能數字科技發展有限公司",2020-01-03,,"Private, ltd by shares"
2,2987686,"(GUANCUN) HK ELECTRONICS LIMITED
(冠存)香港電子有限公司",2020-10-23,,"Private, ltd by shares"
3,2945016,"(Hechuang) Maoyi Co., Limited
(合創)茂易有限公司",2020-05-25,,"Private, ltd by shares"
4,2914934,"(HK) JAMSAM LAYOUT CONSTRUCTION DESIGN LIMITED
香港壬森規劃建築設計有限公司",2020-01-24,,"Private, ltd by shares"
5,2912699,(HK) JH INTERNATIONAL TRADING LIMITED,2020-01-16,,"Private, ltd by shares"
6,2987228,"(HK) YHB TRADE LIMITED
香港益弘寶貿易有限公司",2020-10-22,,"Private, ltd by shares"
7,2913937,"(HK)MUFENG INTERNATIONAL TRADE LIMITED
香港慕楓國際貿易有限公司",2020-01-21,,"Private, ltd by shares"
8,2932740,"(HONG KONG) SINGULARITY E-COMMERCE CO., LIMITED
(香港)奇點電子商務有限公司",2020-04-16,,"Private, ltd by shares"
9,2936715,"(HONGKONG) GSY INTERNATIONAL ENERGY GROUP LIMITED
(香港)港石油國際能源集團有限公司",2020-04-28,,"Private, ltd by shares"
10,2978652,"(HONGKONG) UNI-PROSPER TECHNOLOGY CO., LIMITED
香港協榮科技有限公司",2020-09-18,,"Private, ltd by shares"
11,2988225,(SG) Swing Global Limited,2020-10-27,,"Private, ltd by shares"
12,3003081,"(UK) London Boys Limited
英國倫敦男孩有限公司",2020-12-18,,
13,2994491,-CLOVE-LAND TRADING COMPANY LIMITED,2020-11-17,,"Private, ltd by shares"
14,2949995,.nomic LIMITED,2020-06-09,,"Private, ltd by shares"
15,2946895,"0.618 Production Limited
零點陸壹捌製作有限公司",2020-05-29,,"Private, ltd by shares"
16,2943367,001 Offshore Shares Limited,2020-05-20,,"Private, ltd by shares"
17,3004507,"01 TECHNOLOGY (HONGKONG) CO., LIMITED
零一科技(香港)有限公司",2020-12-23,,
18,2948296,"012 Tech Consulting Co., Limited
012 科技顧問 有限公司",2020-06-03,,"Private, ltd by shares"
19,2993030,01Digital Smart Solution Limited,2020-11-11,,"Private, ltd by shares"
20,2953255,01VC Investment II Limited,2020-06-19,,"Private, ltd by shares"
21,2956633,0314 International Limited,2020-07-02,,"Private, ltd by shares"
22,2943500,"0360 Trois Cent Soixante Limited
靈深樂靈有限公司",2020-05-20,,"Private, ltd by shares"
23,2949673,03AM LIMITED (HK),2020-06-08,,"Private, ltd by shares"
24,2914289,09 WINE INTERNATIONAL LIMITED,2020-01-22,,"Private, ltd by shares"
25,2916240,"0tone Consultant Limited
嶺創顧問有限公司",2020-02-13,,"Private, ltd by shares"
